Date,City,Confirmed,OBJECTID
11/23/2020,Aqaba,192,2
11/24/2020,Amman,1810,4
11/24/2020,Zarqa,466,6
11/24/2020,Jerash,44,12
11/24/2020,irbid ,663,7
11/24/2020,Madaba,290,3
11/24/2020,Ajloun,189,9
11/24/2020,Karak,96,11
11/24/2020,Balqa,330,8
11/24/2020,Maan,51,1
11/24/2020,Mafraq,349,10
11/24/2020,Tafilah,141,5
11/24/2020,Aqaba,157,2
11/25/2020,Amman,1510,4
11/25/2020,Zarqa,425,6
11/25/2020,Jerash,293,12
11/25/2020,irbid ,1250,7
11/25/2020,Madaba,98,3
11/25/2020,Ajloun,160,9
11/25/2020,Karak,122,11
11/25/2020,Balqa,351,8
11/25/2020,Maan,128,1
11/25/2020,Mafraq,369,10
11/25/2020,Tafilah,97,5
11/25/2020,Aqaba,222,2
11/26/2020,Amman,1594,4
11/26/2020,Zarqa,545,6
11/26/2020,Jerash,212,12
11/26/2020,irbid ,993,7
11/26/2020,Madaba,48,3
11/26/2020,Ajloun,242,9
11/26/2020,Karak,512,11
11/26/2020,Balqa,269,8
11/26/2020,Maan,107,1
11/26/2020,Mafraq,245,10
11/26/2020,Tafilah,40,5
11/26/2020,Aqaba,193,2
11/27/2020,Amman,1442,4
11/27/2020,Zarqa,365,6
11/27/2020,Jerash,371,12
11/27/2020,irbid ,867,7
11/27/2020,Madaba,186,3
11/27/2020,Ajloun,126,9
11/27/2020,Karak,138,11
11/27/2020,Balqa,146,8
11/27/2020,Maan,72,1
11/27/2020,Mafraq,648,10
11/27/2020,Tafilah,158,5
11/27/2020,Aqaba,61,2
11/28/2020,Amman,1089,4
11/28/2020,Zarqa,86,6
11/28/2020,Jerash,61,12
11/28/2020,irbid ,755,7
11/28/2020,Madaba,104,3
11/28/2020,Ajloun,271,9
11/28/2020,Karak,349,11
11/28/2020,Balqa,160,8
11/28/2020,Maan,18,1
11/28/2020,Mafraq,108,10
11/28/2020,Tafilah,46,5
11/28/2020,Aqaba,61,2
11/29/2020,Amman,999,4
11/29/2020,Zarqa,270,6
11/29/2020,Jerash,246,12
11/29/2020,irbid ,989,7
11/29/2020,Madaba,107,3
11/29/2020,Ajloun,56,9
11/29/2020,Karak,264,11
11/29/2020,Balqa,230,8
11/29/2020,Maan,91,1
11/29/2020,Mafraq,102,10
11/29/2020,Tafilah,26,5
11/29/2020,Aqaba,218,2
11/30/2020,Amman,1241,4
11/30/2020,Zarqa,241,6
11/30/2020,Jerash,245,12
11/30/2020,irbid ,1804,7
11/30/2020,Madaba,45,3
11/30/2020,Ajloun,122,9
11/30/2020,Karak,353,11
11/30/2020,Balqa,58,8
11/30/2020,Maan,82,1
11/30/2020,Mafraq,626,10
11/30/2020,Tafilah,128,5
11/30/2020,Aqaba,178,2
12/1/2020,Amman,1292,4
12/1/2020,Zarqa,406,6
12/1/2020,Jerash,284,12
12/1/2020,irbid ,843,7
12/1/2020,Madaba,66,3
12/1/2020,Ajloun,193,9
12/1/2020,Karak,175,11
12/1/2020,Balqa,375,8
12/1/2020,Maan,128,1
12/1/2020,Mafraq,253,10
12/1/2020,Tafilah,65,5
12/1/2020,Aqaba,107,2
12/2/2020,Amman,890,4
12/2/2020,Zarqa,283,6
12/2/2020,Jerash,74,12
12/2/2020,irbid ,1047,7
12/2/2020,Madaba,86,3
12/2/2020,Ajloun,191,9
12/2/2020,Karak,315,11
12/2/2020,Balqa,194,8
12/2/2020,Maan,54,1
12/2/2020,Mafraq,279,10
12/2/2020,Tafilah,57,5
12/2/2020,Aqaba,121,2
12/3/2020,Amman,1376,4
12/3/2020,Zarqa,177,6
12/3/2020,Jerash,226,12
12/3/2020,irbid ,904,7
12/3/2020,Madaba,124,3
12/3/2020,Ajloun,266,9
12/3/2020,Karak,211,11
12/3/2020,Balqa,203,8
12/3/2020,Maan,51,1
12/3/2020,Mafraq,270,10
12/3/2020,Tafilah,100,5
12/3/2020,Aqaba,121,2
12/4/2020,Amman,888,4
12/4/2020,Zarqa,249,6
12/4/2020,Jerash,211,12
12/4/2020,irbid ,1041,7
12/4/2020,Madaba,47,3
12/4/2020,Ajloun,31,9
12/4/2020,Karak,116,11
12/4/2020,Balqa,168,8
12/4/2020,Maan,27,1
12/4/2020,Mafraq,304,10
12/4/2020,Tafilah,26,5
12/4/2020,Aqaba,8,2
12/5/2020,Amman,1014,4
12/5/2020,Zarqa,240,6
12/5/2020,Jerash,140,12
12/5/2020,irbid ,659,7
12/5/2020,Madaba,40,3
12/5/2020,Ajloun,201,9
12/5/2020,Karak,196,11
12/5/2020,Balqa,127,8
12/5/2020,Maan,13,1
12/5/2020,Mafraq,352,10
12/5/2020,Tafilah,92,5
12/5/2020,Aqaba,86,2
12/6/2020,Amman,952,4
12/6/2020,Zarqa,263,6
12/6/2020,Jerash,64,12
12/6/2020,irbid ,661,7
12/6/2020,Madaba,58,3
12/6/2020,Ajloun,39,9
12/6/2020,Karak,137,11
12/6/2020,Balqa,133,8
12/6/2020,Maan,34,1
12/6/2020,Mafraq,110,10
12/6/2020,Tafilah,28,5
12/6/2020,Aqaba,97,2
12/7/2020,Amman,1200,4
12/7/2020,Zarqa,291,6
12/7/2020,Jerash,121,12
12/7/2020,irbid ,1067,7
12/7/2020,Madaba,98,3
12/7/2020,Ajloun,178,9
12/7/2020,Karak,163,11
12/7/2020,Balqa,229,8
12/7/2020,Maan,63,1
12/7/2020,Mafraq,454,10
12/7/2020,Tafilah,46,5
12/7/2020,Aqaba,70,2
12/8/2020,Amman,1062,4
12/8/2020,Zarqa,310,6
12/8/2020,Jerash,113,12
12/8/2020,irbid ,768,7
12/8/2020,Madaba,46,3
12/8/2020,Ajloun,118,9
12/8/2020,Karak,137,11
12/8/2020,Balqa,168,8
12/8/2020,Maan,34,1
12/8/2020,Mafraq,144,10
12/8/2020,Tafilah,54,5
12/8/2020,Aqaba,108,2
12/9/2020,Amman,898,4
12/9/2020,Zarqa,126,6
12/9/2020,Jerash,94,12
12/9/2020,irbid ,1071,7
12/9/2020,Madaba,90,3
12/9/2020,Ajloun,172,9
12/9/2020,Karak,132,11
12/9/2020,Balqa,216,8
12/9/2020,Maan,37,1
12/9/2020,Mafraq,135,10
12/9/2020,Tafilah,64,5
12/9/2020,Aqaba,53,2
12/10/2020,Amman,967,4
12/10/2020,Zarqa,204,6
12/10/2020,Jerash,180,12
12/10/2020,irbid ,876,7
12/10/2020,Madaba,7,3
12/10/2020,Ajloun,38,9
12/10/2020,Karak,89,11
12/10/2020,Balqa,182,8
12/10/2020,Maan,21,1
12/10/2020,Mafraq,202,10
12/10/2020,Tafilah,40,5
12/10/2020,Aqaba,96,2
12/11/2020,Amman,801,4
12/11/2020,Zarqa,222,6
12/11/2020,Jerash,81,12
12/11/2020,irbid ,568,7
